date,open,high,low,close,volume,currency_volume,SMA,CCI,ADX,STOCH,ATR,upper_bb,middle_band,lower_bb,RSI,MOM,EMA,MACD,MACDSingal,FearGreedIndex,btcDominance,ethDominance,score,activeCryptocurrencies,activeMarketPairs,activeExchanges,totalCryptocurrencies,totalExchanges,USDtotalMarketCap,USDtotalVolume24H,USDtotalVolume24HReported,USDaltcoinVolume24H,USDaltcoinVolume24HReported,USDaltcoinMarketCap,googlePrice,googleVolume,METAPrice,METAVolume,APPLEPrice,APPLEVolume,AMAZONPrice,AMAZONVolume
2018-03-15,8100.0,8600.0,7906.5,8540.0,6957.00043051,57200510.17046777,8862.971428571429,-119.17895718924032,25.411453637060234,21.670901210581377,848.3142857142856,12034.677598885786,9948.105,7861.532401114213,39.38209583094275,-2432.5,8883.892487122343,-453.6133948562674,-223.35560731080113,32,42.2038,11.7061,1521072000000.0,2166.0,18205.0,259.0,7371.0,1180.0,332376309760.0,15516070912.0,0.0,9074581504.0,0.0,192101007360.0,57.5305,0,183.86,0,44.6625,0,79.116,0
2018-03-16,8536.6,8581.7,7847.1,7889.9,6539.04985142,53857423.98069543,8652.971428571429,-121.55340133980378,26.728095054878885,5.477507099088318,849.4285714285714,12143.804722358655,9872.605,7601.405277641344,35.28179842853501,-2774.0,8635.394365341757,-528.7927690858887,-284.4430396658187,33,42.5058,11.7061,1521158400000.0,2166.0,18205.0,259.0,7371.0,1180.0,331328585728.0,16623182848.0,0.0,9785062400.0,0.0,190494654464.0,56.721,0,185.09,0,44.505,0,78.584,0
2018-03-19,8560.6,8659.0,8251.0,8512.9,7700.27218967,65213796.79468923,8245.1,-64.41242362855247,29.038263537357178,32.444698081417464,896.0999999999998,12073.911779013435,9526.97,6980.028220986564,43.448768806825385,-847.0,8414.750747878554,-569.3015265053164,-434.2084761983085,29,44.359,11.7061,1521417600000.0,2166.0,18205.0,259.0,7371.0,1180.0,318403379200.0,17741903872.0,0.0,10988723200.0,0.0,177162977280.0,55.0035,0,172.56,0,43.825,0,77.2465,0
2018-03-20,8512.9,9178.9,8510.0,9042.1,6900.48005019,61855813.47846289,8291.185714285713,-34.28442700777113,28.424259017435677,50.872427740545014,901.8214285714284,11934.863987456509,9443.195,6951.526012543491,47.952636685777485,-20.600000000000364,8571.588060908914,-501.1423854255827,-447.59525804376335,37,43.4911,11.7061,1521504000000.0,2166.0,18205.0,259.0,7371.0,1180.0,335520595968.0,18053300224.0,0.0,11338509312.0,0.0,189598957568.0,54.79,0,168.15,0,43.81,0,79.3255,0
2018-03-21,9042.1,9100.0,8483.6,8619.8,7817.20608573,69042496.23330164,8364.057142857142,-41.59846495429237,27.885631972307273,50.41860465116276,853.3857142857142,11756.1050489457,9331.439999999999,6906.774951054298,44.88085313435882,-558.1000000000004,8583.641045681687,-475.71796165802516,-453.21979876661567,36,43.7507,11.7061,1521590400000.0,2166.0,18205.0,259.0,7371.0,1180.0,345859751936.0,17628205056.0,0.0,11276165120.0,0.0,194543763456.0,54.7,0,169.39,0,42.8175,0,79.093,0
2018-03-22,8619.8,8760.0,8300.0,8625.0,7506.56154786,63814876.63553511,8376.199999999999,-49.87034143721882,27.63248304338468,50.79735511474135,775.5999999999998,11408.268560251681,9188.695,6969.121439748318,44.92763513495304,-446.10000000000036,8593.980784261264,-449.96243855857574,-452.56832672500764,36,43.7713,11.7061,1521676800000.0,2166.0,18205.0,259.0,7371.0,1180.0,345810829312.0,16237137920.0,0.0,10204797952.0,0.0,194444886016.0,52.6575,0,164.89,0,42.2125,0,77.246,0
2018-03-23,8635.0,8998.9,8551.1,8943.4,4770.54525272,42012160.98648183,8526.699999999999,-23.356203792853215,26.86687310835922,63.18164138467522,747.7357142857143,11102.215216010605,9079.2,7056.184783989396,47.846501095787694,223.89999999999964,8681.335588195949,-399.25647308117186,-441.90595599624044,28,44.0053,11.7061,1521763200000.0,2166.0,18205.0,259.0,7371.0,1180.0,336189128704.0,14840541184.0,0.0,9314840576.0,0.0,188248162304.0,51.3275,0,159.39,0,41.235,0,74.778,0
2018-03-26,8076.1,8260.0,7738.0,8050.3,7588.45414274,60457072.03343865,8547.814285714285,-99.41743475536214,27.08464202371011,36.11358024691359,694.0357142857143,9798.20826479625,8652.310000000001,7506.411735203752,41.021323793593695,160.40000000000055,8381.500951270165,-428.66184568208337,-428.43287432475495,31,43.7631,11.7061,1522022400000.0,2166.0,18205.0,259.0,7371.0,1180.0,328952676352.0,11944108032.0,0.0,7389208576.0,0.0,184992825344.0,52.7045,0,160.06,0,43.1925,0,77.793,0
2018-03-27,8050.3,8140.0,7740.0,7862.4,6634.28508389,52611456.32310309,8379.285714285714,-107.73847304788887,27.553888965660313,29.21662454970696,668.0357142857143,9588.714308430275,8550.805,7512.895691569725,39.59324089087727,481.59999999999945,8251.725713452624,-450.1789416331394,-432.7820877864318,24,44.4603,11.7061,1522108800000.0,2166.0,18205.0,259.0,7371.0,1180.0,312456052736.0,15511460864.0,0.0,9585480704.0,0.0,173537099776.0,50.347,0,152.22,0,42.085,0,74.8525,0
2018-03-28,7865.1,7998.9,7343.0,7479.2,7377.37285324,56561151.77448797,8216.342857142856,-138.76516457100857,28.550509370570587,8.61336631001666,639.535714285714,9603.462017704145,8478.179999999998,7352.897982295852,36.78101103239159,-1083.6999999999998,8058.594285089468,-492.4754207934802,-444.72075438784157,24,44.8099,11.7061,1522195200000.0,2166.0,18205.0,259.0,7371.0,1180.0,296321384448.0,14687452160.0,0.0,9315722240.0,0.0,163540107264.0,50.259,0,153.03,0,41.62,0,71.571,0
2018-03-29,7474.1,7723.1,6633.0,6795.0,13870.83069293,98103117.67778432,7954.914285714285,-192.92813206988043,30.224547757088484,6.3631721591578625,667.8642857142856,9626.563977589394,8349.935,7073.306022410604,32.361263291805216,-1717.8999999999996,7742.695713817101,-574.5813894189623,-470.6928813940658,18,44.9833,11.7061,1522281600000.0,2166.0,18205.0,259.0,7371.0,1180.0,300566675456.0,13861370880.0,0.0,8927380480.0,0.0,165361729536.0,51.857,0,159.79,0,41.945,0,72.367,0
2018-04-02,7013.3,7438.9,6900.1,7387.9,7179.6135289,51723636.30093075,7150.5142857142855,-82.59773842747789,35.27242324341512,34.78023378609663,622.2214285714284,9435.897688628402,7944.225,6452.552311371599,42.22421846957061,-1555.5,7265.363878199942,-647.6926234765206,-581.659030694917,11,45.4861,11.7061,1522627200000.0,2166.0,18205.0,259.0,7371.0,1180.0,255105548288.0,11364388864.0,0.0,6830519296.0,0.0,139068047360.0,50.6315,0,155.39,0,41.67,0,68.5995,0
2018-04-03,7380.3,7504.5,6773.0,6799.9,7482.71923622,54099021.46825648,6998.728571428571,-94.02760694273609,35.72886153571246,13.763497300539873,626.692857142857,9452.566003132464,7878.735000000001,6304.903996867538,38.1011146699146,-1678.1000000000004,7148.997908649957,-659.3341025943737,-597.1940450748083,22,45.5006,11.7061,1522713600000.0,2166.0,18205.0,259.0,7371.0,1180.0,264644526080.0,11134631936.0,0.0,6783001600.0,0.0,144229613568.0,50.934,0,156.11,0,42.0975,0,69.6025,0
2018-04-04,6805.5,6917.2,6571.5,6727.6,7586.51320898,51339083.0495376,6891.357142857143,-108.6782761905289,36.42968684949995,11.488250652741524,607.3571428571428,9409.62078657451,7788.115,6166.60921342549,37.614745065737736,-1348.5,7043.648431487469,-666.7086539746897,-611.0969668547846,22,44.7894,11.7061,1522800000000.0,2166.0,18205.0,259.0,7371.0,1180.0,282286424064.0,14123113472.0,0.0,8642122752.0,0.0,155852095488.0,51.4855,0,155.1,0,42.9025,0,70.5285,0
2018-04-05,6727.6,6853.8,6501.0,6591.8,7034.75640764,46979845.21818,6862.328571428572,-103.51965601481702,37.17668506569902,6.196173181091931,599.6999999999999,9429.276021922298,7723.210000000001,6017.143978077704,36.667938215838134,-1458.5,6930.686323615601,-675.7216527369128,-624.0219040312103,17,45.098,11.7061,1522886400000.0,2166.0,18205.0,259.0,7371.0,1180.0,257531641856.0,12756321280.0,0.0,7827860992.0,0.0,141390086144.0,51.632,0,159.34,0,43.2,0,72.5875,0
2018-04-06,6593.6,7020.0,6522.4,7002.8,6737.45989792,45742535.52226426,6855.585714285715,-77.15608866725819,37.253749102058855,22.426817752596794,603.2571428571428,9434.551406825825,7704.3099999999995,5974.068593174173,41.46980364500878,-859.5999999999995,6948.714742711702,-642.296292930736,-627.6767818111155,19,44.8708,11.7061,1522972800000.0,2166.0,18205.0,259.0,7371.0,1180.0,257629929472.0,14143320064.0,0.0,8530240512.0,0.0,142029373440.0,50.4975,0,157.2,0,42.095,0,70.2615,0
2018-04-09,6730.7,6850.0,6620.0,6824.3,5560.78467985,37451189.9223858,6816.8714285714295,-67.91095851439299,36.654680180571425,22.93228678537957,550.4785714285714,8996.13761795492,7428.214999999999,5860.292382045079,40.514419365218174,-225.69999999999982,6889.7109070814995,-572.2516350761125,-608.54802839499,21,44.8555,11.7061,1523232000000.0,2166.0,18205.0,259.0,7371.0,1180.0,266446176256.0,9043139584.0,0.0,5389729280.0,0.0,146930401280.0,51.0045,0,157.93,0,42.5125,0,70.304,0
