date,open,high,low,close,volume,currency_volume
2023-03-23 15:00:00+08:00,1750.38,1754.56,1731.0,1750.63,8574435,85744.35
2023-03-23 14:00:00+08:00,1748.98,1764.0,1731.25,1750.23,13834184,138341.84
2023-03-23 13:00:00+08:00,1731.82,1755.0,1713.0,1749.0,15004172,150041.72
2023-03-23 12:00:00+08:00,1737.74,1745.0,1720.0,1731.8,7949892,79498.92
2023-03-23 11:00:00+08:00,1738.44,1744.76,1732.0,1737.72,5770404,57704.04
2023-03-23 10:00:00+08:00,1733.0,1740.0,1721.0,1738.44,8947091,89470.91
2023-03-23 09:00:00+08:00,1736.71,1740.0,1648.59,1733.0,10362683,103626.83
2023-03-23 08:00:00+08:00,1734.07,1745.0,1718.65,1736.61,3029152,30291.52
2023-03-23 07:00:00+08:00,1726.77,1745.0,1720.0,1733.98,1754046,17540.46
2023-03-23 06:00:00+08:00,1734.0,1734.26,1711.0,1726.89,1974703,19747.03
2023-03-23 05:00:00+08:00,1732.6,1745.0,1716.66,1734.0,2315471,23154.71
2023-03-23 04:00:00+08:00,1728.67,1745.0,1720.88,1732.53,3383187,33831.87
2023-03-23 03:00:00+08:00,1788.27,1792.72,1720.0,1728.67,87516399,875163.99
2023-03-23 02:00:00+08:00,1788.36,1810.0,1756.64,1788.02,57729401,577294.01
2023-03-23 01:00:00+08:00,1803.71,1803.79,1755.0,1787.74,23306410,233064.1
2023-03-23 00:00:00+08:00,1806.54,1819.0,1796.26,1803.7,15453838,154538.38
2023-03-22 23:00:00+08:00,1802.07,1819.0,1791.0,1806.61,23976835,239768.35
2023-03-22 22:00:00+08:00,1797.49,1815.0,1792.91,1802.25,19478768,194787.68
2023-03-22 21:00:00+08:00,1795.76,1809.0,1780.0,1797.51,15807497,158074.97
2023-03-22 20:00:00+08:00,1785.71,1809.0,1784.0,1795.76,14892478,148924.78
2023-03-22 19:00:00+08:00,1792.95,1815.0,1776.22,1785.82,7758118,77581.18
2023-03-22 18:00:00+08:00,1787.15,1793.0,1787.1,1793.0,3373278,33732.78
2023-03-22 17:00:00+08:00,1786.66,1792.95,1750.0,1787.19,17443943,174439.43
2023-03-22 16:00:00+08:00,1793.16,1799.0,1780.0,1786.67,11963463,119634.63
2023-03-22 15:00:00+08:00,1798.8,1799.26,1786.35,1793.13,14020607,140206.07
2023-03-22 14:00:00+08:00,1803.69,1810.47,1786.35,1798.78,10632211,106322.11
2023-03-22 13:00:00+08:00,1801.55,1815.0,1787.0,1804.02,9130316,91303.16
2023-03-22 12:00:00+08:00,1799.59,1802.58,1796.01,1801.51,7091895,70918.95
2023-03-22 11:00:00+08:00,1794.21,1818.0,1783.0,1799.9,13192742,131927.42
2023-03-22 10:00:00+08:00,1794.36,1812.58,1787.41,1794.2,16322073,163220.73
2023-03-22 09:00:00+08:00,1788.39,1800.0,1783.96,1794.25,13596127,135961.27
2023-03-22 08:00:00+08:00,1801.71,1802.58,1777.99,1788.39,14458389,144583.89
2023-03-22 07:00:00+08:00,1794.31,1808.33,1790.64,1801.85,11526099,115260.99
2023-03-22 06:00:00+08:00,1793.84,1797.0,1785.29,1794.31,13891775,138917.75
2023-03-22 05:00:00+08:00,1797.13,1809.79,1781.81,1793.88,11984517,119845.17
2023-03-22 04:00:00+08:00,1790.81,1831.98,1781.0,1797.13,17706133,177061.33
2023-03-22 03:00:00+08:00,1788.22,1813.33,1779.02,1790.82,17107534,171075.34
2023-03-22 02:00:00+08:00,1790.64,1799.99,1762.0,1788.21,23461194,234611.94
2023-03-22 01:00:00+08:00,1812.35,1815.94,1762.23,1790.62,34042996,340429.96
2023-03-22 00:00:00+08:00,1812.81,1830.0,1807.23,1812.45,21194355,211943.55
2023-03-21 23:00:00+08:00,1805.51,1826.0,1800.0,1812.84,18799174,187991.74
2023-03-21 22:00:00+08:00,1819.12,1843.75,1800.0,1805.45,46260983,462609.83
2023-03-21 21:00:00+08:00,1805.34,1820.0,1788.95,1819.12,46741893,467418.93
2023-03-21 20:00:00+08:00,1761.76,1816.66,1755.0,1805.39,28487859,284878.59
2023-03-21 19:00:00+08:00,1670.85,1771.62,1670.84,1761.82,24981121,249811.21
2023-03-21 18:00:00+08:00,1748.0,1804.17,1670.84,1670.85,80720522,807205.22
